id_cliente,cliente,genero,id_producto,producto,precio,cantidad,monto,forma_pago,fecreg
1,Raul Opazo,H,8,Salesforce,263.09,22,5787.98,Débito,2025-07-03 23:51:01.490000+00:00
6,Carolina López,M,1,Amazon,151.48,1,151.48,Crédito,2025-07-03 23:51:01.490000+00:00
3,Felipe Muñoz,H,9,Disney,90.24,71,6407.04,Débito,2025-07-03 23:51:01.490000+00:00
1,Raul Opazo,H,4,Alphabet,141.25,25,3531.25,Efectivo,2025-07-03 23:52:01.688000+00:00
7,Elizabeth Cordero,M,5,Microsoft,375.6,50,18780.0,Efectivo,2025-07-03 23:52:01.688000+00:00
4,Eric Aracena,H,10,Cisco,49.74,92,4576.08,Débito,2025-07-03 23:52:01.688000+00:00
2,Alejandro Pérez,H,6,Delta,42.22,16,675.52,Débito,2025-07-03 23:53:01.773000+00:00
1,Raul Opazo,H,6,Delta,42.22,95,4010.9,Débito,2025-07-03 23:54:02.203000+00:00
4,Eric Aracena,H,10,Cisco,49.74,54,2685.96,Crédito,2025-07-03 23:54:02.203000+00:00
3,Felipe Muñoz,H,1,Amazon,151.48,24,3635.52,Débito,2025-07-03 23:54:02.203000+00:00
7,Elizabeth Cordero,M,9,Disney,90.24,89,8031.36,Débito,2025-07-03 23:55:01.406000+00:00
1,Raul Opazo,H,8,Salesforce,263.09,75,19731.75,Débito,2025-07-03 23:55:01.406000+00:00
8,Paola Rojas,M,1,Amazon,151.48,52,7876.96,Efectivo,2025-07-03 23:55:01.406000+00:00
6,Carolina López,M,9,Disney,90.24,17,1534.08,Efectivo,2025-07-03 23:56:01.594000+00:00
1,Raul Opazo,H,9,Disney,90.24,37,3338.88,Débito,2025-07-03 23:56:01.594000+00:00
3,Felipe Muñoz,H,6,Delta,42.22,54,2279.88,Crédito,2025-07-03 23:57:02.042000+00:00
2,Alejandro Pérez,H,3,Meta,359.09,80,28727.2,Crédito,2025-07-03 23:58:01.236000+00:00
3,Felipe Muñoz,H,6,Delta,42.22,33,1393.26,Crédito,2025-07-03 23:59:01.699000+00:00
10,Luisa Torres,M,2,Nvidia,537.94,66,35504.04,Crédito,2025-07-03 23:59:01.699000+00:00
3,Felipe Muñoz,H,6,Delta,42.22,9,379.98,Débito,2025-07-03 23:59:01.699000+00:00
7,Elizabeth Cordero,M,5,Microsoft,375.6,37,13897.2,Débito,2025-07-04 00:00:02.172000+00:00
10,Luisa Torres,M,3,Meta,359.09,19,6822.71,Débito,2025-07-04 00:00:02.172000+00:00
3,Felipe Muñoz,H,10,Cisco,49.74,75,3730.5,Débito,2025-07-04 00:00:02.172000+00:00
2,Alejandro Pérez,H,4,Alphabet,141.25,36,5085.0,Efectivo,2025-07-04 00:01:01.323000+00:00
8,Paola Rojas,M,4,Alphabet,141.25,77,10876.25,Efectivo,2025-07-04 00:02:02.146000+00:00
8,Paola Rojas,M,1,Amazon,151.48,27,4089.96,Efectivo,2025-07-04 00:02:02.146000+00:00
10,Luisa Torres,M,6,Delta,42.22,66,2786.52,Débito,2025-07-04 00:03:01.589000+00:00
9,Marlén Soto,M,10,Cisco,49.74,12,596.88,Débito,2025-07-04 00:03:01.589000+00:00
5,Mauricio Correa,H,1,Amazon,151.48,67,10149.16,Efectivo,2025-07-04 00:04:01.779000+00:00
6,Carolina López,M,2,Nvidia,537.94,78,41959.32,Efectivo,2025-07-04 00:05:02.263000+00:00
4,Eric Aracena,H,2,Nvidia,537.94,65,34966.1,Débito,2025-07-04 00:05:02.263000+00:00
8,Paola Rojas,M,8,Salesforce,263.09,45,11839.05,Débito,2025-07-04 00:05:02.263000+00:00
8,Paola Rojas,M,2,Nvidia,537.94,50,26897.0,Débito,2025-07-04 00:06:01.656000+00:00
5,Mauricio Correa,H,7,Apple,184.85,89,16451.65,Crédito,2025-07-04 00:07:01.866000+00:00
1,Raul Opazo,H,9,Disney,90.24,4,360.96,Débito,2025-07-04 00:08:01.876000+00:00
1,Raul Opazo,H,7,Apple,184.85,29,5360.65,Débito,2025-07-04 00:09:02.299000+00:00
5,Mauricio Correa,H,4,Alphabet,141.25,17,2401.25,Débito,2025-07-04 00:09:02.299000+00:00
